window_start,window_end,window_id,mean_amplitude,mean_acrophase,mean_mesor,amplitude_std,acrophase_std,mesor_std,p_value,r_squared,data_points,Label
2024-11-19,2024-11-25,2024-11-19_to_2024-11-25,41.4478162917778,-1.471737098979002,56.98130920644535,,,,,,158,B3
2024-11-26,2024-12-02,2024-11-26_to_2024-12-02,37.61365724950756,-1.2704739059562327,32.613167809142695,,,,,,168,B3
2024-12-03,2024-12-09,2024-12-03_to_2024-12-09,96.33699486119738,-2.352263568453619,98.12072979282473,,,,,,168,B3
2024-12-10,2024-12-16,2024-12-10_to_2024-12-16,127.65212071429528,-2.5535267614763884,128.05401426587068,,,,,,168,B3
2024-12-17,2024-12-23,2024-12-17_to_2024-12-23,105.13754855707711,-0.792473822527155,129.82342470752496,,,,,,168,B3
2024-12-24,2024-12-30,2024-12-24_to_2024-12-30,117.52823029211314,-2.5157899127846193,122.80260462105987,,,,,,168,B3
2024-12-31,2025-01-06,2024-12-31_to_2025-01-06,116.62019493728266,-0.6792632764518469,93.11583048442837,,,,,,25,B3
2025-01-01,2025-01-07,2025-01-01_to_2025-01-07,98.66298090878632,-0.779894872963232,143.24542361783705,,,,,,167,M1
2025-01-08,2025-01-14,2025-01-08_to_2025-01-14,72.29686823580127,-0.5786316799404627,147.31716107691068,,,,,,168,M1
2025-01-15,2025-01-21,2025-01-15_to_2025-01-21,51.24970677535607,-0.38994743648161556,160.47598866261902,,,,,,168,M1
2025-01-22,2025-01-28,2025-01-22_to_2025-01-28,95.00151710404364,-0.5408948312486928,81.064900674768,,,,,,168,M1
2025-01-29,2025-02-04,2025-01-29_to_2025-02-04,99.50993635156232,-0.5786316799404627,93.93769266569706,,,,,,85,M1
2025-02-01,2025-02-07,2025-02-01_to_2025-02-07,99.51684798707286,-0.5157369321208467,99.22869271403694,,,,,,155,M2
2025-02-08,2025-02-14,2025-02-08_to_2025-02-14,101.59953965529267,-0.18868424345884627,94.07450164081621,,,,,,168,M2
2025-02-15,2025-02-21,2025-02-15_to_2025-02-21,101.6646195195975,-0.28931583997023136,91.00424876695553,,,,,,168,M2
2025-02-22,2025-02-28,2025-02-22_to_2025-02-28,94.1733563199369,-0.2515789912784623,79.30465136679786,,,,,,168,M2
2025-03-01,2025-03-07,2025-03-01_to_2025-03-07,117.04536884648807,-0.1509473947670772,83.24548169410241,,,,,,97,M2
2025-03-05,2025-03-11,2025-03-05_to_2025-03-11,21.73535083062712,-1.58494764505431,117.3284573284013,,,,,,166,M3
2025-03-12,2025-03-18,2025-03-12_to_2025-03-18,24.05000699515523,-1.559789745926464,112.18448091902437,,,,,,168,M3
2025-03-19,2025-03-25,2025-03-19_to_2025-03-25,77.83114085177564,-0.11321054607530812,61.051705557628864,,,,,,168,M3
2025-03-26,2025-04-01,2025-03-26_to_2025-04-01,59.63140233099717,-0.07547369738353815,46.997367305001006,,,,,,121,M3
2025-03-31,2025-04-06,2025-03-31_to_2025-04-06,65.88932701100626,0.05660527303765406,49.308880166967825,,,,,,167,M4
2025-04-07,2025-04-13,2025-04-07_to_2025-04-13,48.39499934389779,-0.06289474781961513,45.44721952877501,,,,,,168,M4
2025-04-14,2025-04-20,2025-04-14_to_2025-04-20,45.67645073414234,0.08176317216550011,31.707285014992152,,,,,,168,M4
2025-04-21,2025-04-27,2025-04-21_to_2025-04-27,55.955942481524936,-0.037736848691769076,54.46033978684971,,,,,,168,M4
2025-04-28,2025-05-04,2025-04-28_to_2025-05-04,57.26526866772123,0.09434212172942313,42.23740856284929,,,,,,93,M4
